Event Description,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time to Restore
Load Shed,12/6/2012,9:18 PM,12/6/2012,9:31 PM,0:13
Suspected Physical Attack,12/3/2012,12:02 PM,12/3/2012,12:30 PM,0:28
Severe Weather - Winter Storm,12/2/2012,5:20 AM,12/4/2012,9:00 AM,3:40
Physical Attack; Vandalism,11/27/2012,1:07 PM,11/27/2012,1:40 PM,0:33
Physical Attack; Vandalism,11/26/2012,3:07 PM,11/26/2012,3:08 PM,0:01
Physical Attack; Vandalism,11/26/2012,12:37 PM,11/26/2012,12:38 PM,0:01
Physical Attack; Vandalism,11/21/2012,2:50 PM,11/21/2012,2:51 PM,0:01
Fuel Supply Deficiency,11/17/2012,10:00 AM,11/18/2012,10:00 AM,0:00
Suspected Cyber Attack,11/15/2012,9:09 PM,11/15/2012,9:26 PM,0:17
Physical Attack; Vandalism,11/15/2012,5:38 AM,11/15/2012,5:39 AM,0:01
Physical Attack; Vandalism,11/8/2012,9:34 AM,11/8/2012,9:35 AM,0:01
Physical Attack; Vandalism,11/7/2012,2:21 PM,11/7/2012,2:48 PM,0:27
Physical Attack; Vandalism,11/2/2012,9:30 AM,11/2/2012,12:10 PM,2:40
Severe Weather - Nor'easter,10/30/2012,2:00 AM,11/1/2012,10:00 PM,20:00
Physical Attack; Vandalism,10/30/2012,3:00 PM,10/30/2012,3:01 PM,0:01
Vandalism,10/30/2012,1:20 PM,10/30/2012,1:25 PM,0:05
Physical Attack; Vandalism,10/30/2012,12:00 AM,10/30/2012,12:02 AM,0:02
Severe Weather - Hurricane Sandy,10/29/2012,12:00 AM,11/9/2012,11:59 PM,23:59
Severe Weather - Hurricane Sandy,10/29/2012,4:00 PM,11/5/2012,11:59 PM,7:59
Severe Weather - Hurricane Sandy,10/29/2012,4:00 PM,11/7/2012,11:48 PM,7:48
Severe Weather - Hurricane Sandy,10/29/2012,12:00 PM,11/4/2012,11:00 PM,11:00
Severe Weather - Hurricane Sandy,10/29/2012,8:00 AM,11/4/2012,11:00 PM,15:00
Severe Weather - Hurricane Sandy,10/29/2012,6:11 PM,11/4/2012,10:50 PM,4:39
Severe Weather - Hurricane Sandy,10/29/2012,3:15 PM,11/4/2012,8:00 PM,4:45
Severe Weather - Hurricane Sandy,10/29/2012,6:12 PM,10/30/2012,7:35 PM,1:23
Severe Weather - Hurricane Sandy,10/29/2012,4:01 PM,11/8/2012,7:00 PM,2:59
Severe Weather - Hurricane Sandy,10/29/2012,2:40 PM,10/30/2012,6:16 PM,3:36
Severe Weather - Hurricane Sandy,10/29/2012,9:00 AM,11/2/2012,6:00 PM,9:00
Severe Weather - Hurricane Sandy,10/29/2012,4:00 PM,11/8/2012,5:08 PM,1:08
Suspected Physical Attack,10/29/2012,3:00 PM,10/29/2012,3:01 PM,0:01
Severe Weather - Hurricane Sandy,10/29/2012,1:00 PM,11/12/2012,2:00 PM,1:00
Physical Attack; Vandalism,10/29/2012,9:00 AM,10/29/2012,9:01 AM,0:01
Physical Attack; Vandalism,10/25/2012,6:51 PM,10/25/2012,7:30 PM,0:39
Physical Attack; Vandalism,10/25/2012,2:39 PM,10/25/2012,6:00 PM,3:21
Physical Attack; Vandalism,10/25/2012,12:00 AM,10/25/2012,12:01 AM,0:01
Physical Attack; Vandalism,10/24/2012,3:15 PM,10/24/2012,3:16 PM,0:01
Physical Attack; Vandalism,10/24/2012,12:00 AM,10/24/2012,12:01 AM,0:01
Suspected Physical Attack,10/24/2012,12:00 AM,10/24/2012,12:01 AM,0:01
Transmission System Interruption,10/23/2012,9:10 AM,10/23/2012,9:16 AM,0:06
Physical Attack; Vandalism,10/22/2012,12:00 AM,10/22/2012,12:01 AM,0:01
Vandalism; Theft,10/15/2012,2:15 PM,10/15/2012,2:16 PM,0:01
Electrical System Separation (Islanding),10/14/2012,10:36 AM,10/14/2012,10:50 AM,0:14
Vandalsim,10/11/2012,12:00 AM,10/11/2012,12:01 AM,0:01
Vandalsim,10/9/2012,12:00 AM,10/9/2012,12:01 AM,0:01
Suspected Physical Attack,10/5/2012,5:30 PM,10/5/2012,5:50 PM,0:20
Voltage Reduction,9/26/2012,9:16 PM,9/26/2012,10:18 PM,1:02
Suspected Physical Attack,9/24/2012,12:00 AM,9/25/2012,12:00 AM,0:00
Electrical System Separation (Islanding),9/11/2012,1:00 PM,9/11/2012,1:58 PM,0:58
Severe Weather - Thunderstorms,9/8/2012,3:53 PM,9/9/2012,7:46 PM,3:53
Severe Weather - Thunderstorms,9/8/2012,3:40 PM,9/8/2012,6:45 PM,3:05
Electrical System Separation (Islanding),9/5/2012,10:56 AM,9/5/2012,11:27 AM,0:31
